n_features,features,rows_train,rows_test,r2_log,rmse_log,r2_level,mae_level,alpha,error
4,"LAND_SF, TT_RMS, RES_FLOOR, emp_dist_m",16000,4000,0.3910824800347573,0.5622255099932978,-0.005052073532902046,917564.301007158,1.0,
7,"LAND_SF, BED_RMS, TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.39086724844560805,0.5623248649919522,-0.25651364623090545,962437.4971979097,1.0,
8,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, NUM_PARKING, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.3902923502027299,0.5625901629375227,0.08151735913990732,900540.2864429092,1.0,
7,"LAND_SF, LIVING_AREA, TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.39009727080570356,0.5626801576853636,-0.838840347104651,1005544.9269071466,1.0,
6,"YR_BUILT, TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.38960246578243785,0.562908358437055,-0.028193436079984924,934476.5678163714,1.0,
6,"LAND_SF, BED_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.38957996651686166,0.5629187327482502,0.4285732276147084,895660.4856589027,1.0,
8,"LAND_SF, LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.389544823592339,0.5629349366117629,-0.8046271034612928,994503.6684068921,1.0,
7,"LAND_SF, BED_RMS, TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.38901899387287076,0.5631773329541581,-0.08049506275421558,937743.8963808316,1.0,
7,"LAND_SF, LIVING_AREA, BED_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.38883054081533386,0.5632641804228697,-0.26679555461335513,945382.4356537194,1.0,
7,"LIVING_AREA, BED_RMS, RES_FLOOR, NUM_PARKING, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.38872720102478364,0.5633117982653925,0.3985579955607046,884112.2050017676,1.0,
7,"LAND_SF, LIVING_AREA, BED_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.38853571307424084,0.5634000231754532,-0.27527146950575365,947128.4537219014,1.0,
6,"YR_BUILT, TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.3882535712862394,0.56352999017504,-0.023668399452053013,939532.5922441923,1.0,
7,"LIVING_AREA, BED_RMS, RES_FLOOR, median_hh_income, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.3880564653163773,0.5636207681300298,0.4325278559300382,882169.8354455138,1.0,
4,"LAND_SF, BED_RMS, RES_FLOOR, emp_dist_m",16000,4000,0.3879873669040027,0.5636525882234893,-0.047252858921054575,937478.3476837496,1.0,
6,"LAND_SF, BED_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.3872024925155677,0.564013899992079,0.43321227586346855,895842.3536666224,1.0,
4,"LIVING_AREA, BED_RMS, emp_dist_m, INT_COND",16000,4000,0.38618240433969,0.564483145270599,-1.34766691864048,1071991.3939897092,1.0,
6,"YR_BUILT, TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.38591105419188176,0.5646079019259058,-0.07047092813336531,944575.0152203372,1.0,
7,"LAND_SF, LIVING_AREA, BED_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.3856557995754162,0.5647252333005475,-0.28157207867804934,950206.6781002033,1.0,
4,"YR_BUILT, LIVING_AREA, RES_FLOOR, INT_COND",16000,4000,0.3854074250112841,0.5648393787662292,-0.3029442128197153,949592.2979097061,1.0,
7,"YR_BUILT, BED_RMS, TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.3851532316800259,0.564956174482892,-0.07550788609513592,932602.0035857122,1.0,
6,"YR_BUILT, LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, INT_COND",16000,4000,0.38494933495587325,0.5650498426703778,-3.2681280950955225,1202333.8338415388,1.0,
6,"TT_RMS, RES_FLOOR, NUM_PARKING, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.3847914617609033,0.5651223574283875,0.10193315298134731,925669.0099980993,1.0,
7,"YR_BUILT, BED_RMS, TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.3845169849412037,0.5652484087431978,-0.2039610390715092,955045.4753784199,1.0,
3,"TT_RMS, emp_dist_m, INT_COND",16000,4000,0.3844477486751672,0.5652802005129999,-2.5298902611774268,1114937.185052269,1.0,
6,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, neighborhood_walkability, INT_COND",16000,4000,0.38423634065799417,0.5653772633594352,-3.270667073111521,1203791.0528287964,1.0,
4,"YR_BUILT, TT_RMS, RES_FLOOR, emp_dist_m",16000,4000,0.38377639808416375,0.5655883772573392,-0.04501518552185724,917019.6771185449,1.0,
4,"LIVING_AREA, RES_FLOOR, NUM_PARKING, INT_COND",16000,4000,0.38341939577889506,0.5657521872102967,-0.2882151004506728,941428.5500538368,1.0,
6,"YR_BUILT, BED_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.38308737075845556,0.565904493817768,0.3582483641752028,906353.406836737,1.0,
7,"YR_BUILT, BED_RMS, TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.3826043419049364,0.5661259957780493,-0.07315371632244694,932868.4742255288,1.0,
6,"TT_RMS, RES_FLOOR, NUM_PARKING, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.3824522863147384,0.5661957057944006,0.06268411187244416,930459.2024391573,1.0,
5,"YR_BUILT, LIVING_AREA, TT_RMS, RES_FLOOR, emp_dist_m",16000,4000,0.3823091433512258,0.5662613219674386,-0.7759707374562297,982235.1922471852,1.0,
7,"BED_RMS, TT_RMS, RES_FLOOR, NUM_PARKING, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.38154975274240777,0.5666092965583501,-0.19249903991632245,953362.1288091027,1.0,
